Name,Code,Type,Emp14,Emp24,Dist14,Dist24,ChgNum,ChgPerc,Openings
Management occupations,11-0000,Summary,9157.50,9662.90,6.10,6.00,505.40,5.50,2586.80
Top executives,11-1000,Summary,2525.90,2672.50,1.70,1.70,146.60,5.80,760.00
Chief executives,11-1011,Line item,343.40,339.40,0.20,0.20,-4.10,-1.20,58.40
General and operations managers,11-1021,Line item,2124.10,2275.20,1.40,1.40,151.10,7.10,688.80
Legislators,11-1031,Line item,58.30,57.90,0.00,0.00,-0.40,-0.70,12.90
"Advertising, marketing, promotions, public relations, and sales managers",Nov-00,Summary,667.30,710.70,0.40,0.40,43.40,6.50,210.70
Advertising and promotions managers,Nov-11,Line item,31.00,32.40,0.00,0.00,1.50,4.70,11.40
Marketing and sales managers,Nov-20,Summary,570.60,607.80,0.40,0.40,37.30,6.50,172.20
Marketing managers,Nov-21,Line item,194.30,212.50,0.10,0.10,18.20,9.40,64.20
Sales managers,Nov-22,Line item,376.30,395.30,0.20,0.20,19.00,5.10,108.00
Public relations and fundraising managers,Nov-31,Line item,65.80,70.50,0.00,0.00,4.70,7.10,27.10
Operations specialties managers,Nov-00,Summary,1721.90,1847.70,1.10,1.20,125.90,7.30,499.90
Administrative services managers,Nov-11,Line item,287.30,310.80,0.20,0.20,23.50,8.20,77.20
Computer and information systems managers,Nov-21,Line item,348.50,402.20,0.20,0.30,53.70,15.40,94.80
Financial managers,Nov-31,Line item,555.90,593.50,0.40,0.40,37.70,6.80,169.30
Industrial production managers,Nov-51,Line item,173.40,167.00,0.10,0.10,-6.30,-3.70,49.10
Purchasing managers,Nov-61,Line item,73.00,73.70,0.00,0.00,0.70,1.00,17.90
"Transportation, storage, and distribution managers",Nov-71,Line item,111.60,114.10,0.10,0.10,2.50,2.20,27.10
Compensation and benefits managers,Nov-11,Line item,16.90,18.00,0.00,0.00,1.10,6.50,6.00
Human resources managers,Nov-21,Line item,122.50,133.30,0.10,0.10,10.80,8.80,46.60
Training and development managers,Nov-31,Line item,32.90,35.20,0.00,0.00,2.30,7.00,11.90
Other management occupations,Nov-00,Summary,4242.50,4431.90,2.80,2.80,189.50,4.50,1116.20
"Farmers, ranchers, and other agricultural managers",Nov-13,Line item,929.80,911.70,0.60,0.60,-18.10,-1.90,158.40
Construction managers,Nov-21,Line item,373.20,391.10,0.20,0.20,17.80,4.80,70.10
Education administrators,Nov-30,Summary,516.90,551.80,0.30,0.30,34.90,6.80,185.20
"Education administrators, preschool and childcare center/program",Nov-31,Line item,64.00,68.20,0.00,0.00,4.20,6.60,22.90
"Education administrators, elementary and secondary school",Nov-32,Line item,240.00,254.00,0.20,0.20,14.00,5.80,83.80
"Education administrators, postsecondary",Nov-33,Line item,175.10,190.30,0.10,0.10,15.20,8.70,66.10
"Education administrators, all other",Nov-39,Line item,37.80,39.30,0.00,0.00,1.50,4.00,12.50
Architectural and engineering managers,Nov-41,Line item,182.10,185.80,0.10,0.10,3.70,2.00,59.50
Food service managers,Nov-51,Line item,305.00,320.70,0.20,0.20,15.70,5.10,77.10
Funeral service managers,Nov-61,Line item,29.30,30.30,0.00,0.00,1.00,3.30,7.40
Gaming managers,Nov-71,Line item,3.80,3.80,0.00,0.00,0.00,-0.60,0.80
Lodging managers,Nov-81,Line item,48.40,52.10,0.00,0.00,3.70,7.60,13.00
Medical and health services managers,Nov-11,Line item,333.00,389.30,0.20,0.20,56.30,16.90,140.50
Natural sciences managers,Nov-21,Line item,55.10,56.90,0.00,0.00,1.80,3.30,13.30
Postmasters and mail superintendents,Nov-31,Line item,17.30,12.80,0.00,0.00,-4.60,-26.20,3.80
"Property, real estate, and community association managers",Nov-41,Line item,313.80,339.10,0.20,0.20,25.30,8.10,79.90
Social and community service managers,Nov-51,Line item,138.50,151.70,0.10,0.10,13.20,9.50,49.80
Emergency management directors,Nov-61,Line item,10.50,11.20,0.00,0.00,0.70,6.20,1.90
"Managers, all other",Nov-99,Line item,985.60,1023.60,0.70,0.60,38.00,3.90,255.40
Business and financial operations occupations,13-0000,Summary,7565.30,8197.80,5.00,5.10,632.40,8.40,2191.70
Business operations specialists,13-1000,Summary,4708.80,5054.20,3.10,3.20,345.50,7.30,1204.50
"Agents and business managers of artists, performers, and athletes",13-1011,Line item,19.70,20.20,0.00,0.00,0.50,2.50,6.80
Buyers and purchasing agents,13-1020,Summary,443.20,450.30,0.30,0.30,7.20,1.60,135.10
"Buyers and purchasing agents, farm products",13-1021,Line item,12.90,13.50,0.00,0.00,0.60,4.60,3.30
"Wholesale and retail buyers, except farm products",13-1022,Line item,129.50,137.50,0.10,0.10,8.10,6.20,49.10
"Purchasing agents, except wholesale, retail, and farm products",13-1023,Line item,300.80,299.30,0.20,0.20,-1.50,-0.50,82.70
"Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,315.30,324.90,0.20,0.20,9.60,3.10,87.90
"Claims adjusters, examiners, and investigators",13-1031,Line item,299.70,309.50,0.20,0.20,9.80,3.30,84.00
"Insurance appraisers, auto damage",13-1032,Line item,15.50,15.40,0.00,0.00,-0.20,-1.20,3.80
Compliance officers,13-1041,Line item,260.30,269.00,0.20,0.20,8.70,3.30,45.30
Cost estimators,13-1051,Line item,213.50,232.30,0.10,0.10,18.70,8.80,79.50
Human resources workers,13-1070,Summary,564.10,579.60,0.40,0.40,15.60,2.80,159.30
Human resources specialists,13-1071,Line item,482.00,503.90,0.30,0.30,22.00,4.60,139.30
Farm labor contractors,13-1074,Line item,0.10,0.10,0.00,0.00,0.00,-8.90,0.00
Labor relations specialists,13-1075,Line item,82.10,75.60,0.10,0.00,-6.40,-7.80,20.00
Logisticians,13-1081,Line item,130.40,132.90,0.10,0.10,2.50,1.90,20.60
Management analysts,13-1111,Line item,758.00,861.40,0.50,0.50,103.40,13.60,208.50
"Meeting, convention, and event planners",13-1121,Line item,100.00,109.90,0.10,0.10,9.90,9.90,21.80
Fundraisers,13-1131,Line item,73.40,80.30,0.00,0.10,6.90,9.30,17.10
"Compensation, benefits, and job analysis specialists",13-1141,Line item,84.70,88.10,0.10,0.10,3.40,4.00,24.00
Training and development specialists,13-1151,Line item,252.60,271.50,0.20,0.20,18.90,7.50,80.40
Market research analysts and marketing specialists,13-1161,Line item,495.50,587.80,0.30,0.40,92.30,18.60,151.40
"Business operations specialists, all other",13-1199,Line item,998.00,1046.00,0.70,0.70,48.00,4.80,166.90
Financial specialists,13-2000,Summary,2856.60,3143.50,1.90,2.00,287.00,10.00,987.20
Accountants and auditors,13-2011,Line item,1332.70,1475.10,0.90,0.90,142.40,10.70,498.00
Appraisers and assessors of real estate,13-2021,Line item,85.80,92.50,0.10,0.10,6.80,7.90,20.50
Budget analysts,13-2031,Line item,60.80,62.30,0.00,0.00,1.50,2.50,16.70
Credit analysts,13-2041,Line item,69.40,73.60,0.00,0.00,4.20,6.10,34.30
Financial analysts and advisors,13-2050,Summary,630.40,724.80,0.40,0.50,94.50,15.00,245.40
Financial analysts,13-2051,Line item,277.60,310.00,0.20,0.20,32.30,11.70,89.40
Personal financial advisors,13-2052,Line item,249.40,323.20,0.20,0.20,73.90,29.60,136.40
Insurance underwriters,13-2053,Line item,103.40,91.60,0.10,0.10,-11.70,-11.40,19.50
Financial examiners,13-2061,Line item,38.20,42.00,0.00,0.00,3.70,9.70,13.10
Credit counselors and loan officers,13-2070,Summary,335.80,365.30,0.20,0.20,29.60,8.80,85.40
Credit counselors,13-2071,Line item,32.60,37.60,0.00,0.00,5.00,15.50,10.50
Loan officers,13-2072,Line item,303.20,327.70,0.20,0.20,24.50,8.10,75.00
"Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,158.40,155.60,0.10,0.10,-2.80,-1.70,51.90
"Tax examiners and collectors, and revenue agents",13-2081,Line item,67.90,63.70,0.00,0.00,-4.20,-6.20,27.80
Tax preparers,13-2082,Line item,90.40,91.80,0.10,0.10,1.40,1.60,24.10
"Financial specialists, all other",13-2099,Line item,145.20,152.30,0.10,0.10,7.10,4.90,21.90
Computer and mathematical occupations,15-0000,Summary,4068.30,4599.70,2.70,2.90,531.40,13.10,1156.80
Computer occupations,15-1100,Summary,3916.10,4404.60,2.60,2.70,488.50,12.50,1083.80
Computer and information research scientists,15-1111,Line item,25.60,28.30,0.00,0.00,2.70,10.70,6.00
Computer and information analysts,15-1120,Summary,650.70,784.10,0.40,0.50,133.40,20.50,217.10
Computer systems analysts,15-1121,Line item,567.80,686.30,0.40,0.40,118.60,20.90,191.60
Information security analysts,15-1122,Line item,82.90,97.70,0.10,0.10,14.80,17.90,25.50
Software developers and programmers,15-1130,Summary,1591.10,1790.80,1.10,1.10,199.70,12.50,485.40
Computer programmers,15-1131,Line item,328.60,302.20,0.20,0.20,-26.50,-8.00,81.00
"Software developers, applications",15-1132,Line item,718.40,853.70,0.50,0.50,135.30,18.80,238.00
"Software developers, systems software",15-1133,Line item,395.60,447.00,0.30,0.30,51.30,13.00,107.90
Web developers,15-1134,Line item,148.50,188.00,0.10,0.10,39.50,26.60,58.60
Database and systems administrators and network architects,15-1140,Summary,648.80,705.00,0.40,0.40,56.20,8.70,150.10
Database administrators,15-1141,Line item,120.00,133.40,0.10,0.10,13.40,11.10,39.20
Network and computer systems administrators,15-1142,Line item,382.60,412.80,0.30,0.30,30.20,7.90,79.40
Computer network architects,15-1143,Line item,146.20,158.90,0.10,0.10,12.70,8.70,31.50
Computer support specialists,15-1150,Summary,766.90,855.70,0.50,0.50,88.80,11.60,187.40
Computer user support specialists,15-1151,Line item,585.90,661.00,0.40,0.40,75.10,12.80,150.50
Computer network support specialists,15-1152,Line item,181.00,194.60,0.10,0.10,13.60,7.50,36.90
"Computer occupations, all other",15-1199,Line item,233.00,240.80,0.20,0.20,7.70,3.30,37.70
Mathematical science occupations,15-2000,Summary,152.20,195.10,0.10,0.10,42.90,28.20,73.00
Actuaries,15-2011,Line item,24.60,29.00,0.00,0.00,4.40,18.10,11.70
Mathematicians,15-2021,Line item,3.50,4.20,0.00,0.00,0.70,21.40,1.30
Operations research analysts,15-2031,Line item,91.30,118.90,0.10,0.10,27.60,30.20,43.90
Statisticians,15-2041,Line item,30.00,40.10,0.00,0.00,10.10,33.80,15.40
Miscellaneous mathematical science occupations,15-2090,Summary,3.00,2.90,0.00,0.00,-0.10,-1.80,0.60
Mathematical technicians,15-2091,Line item,1.20,1.10,0.00,0.00,-0.20,-12.60,0.20
"Mathematical science occupations, all other",15-2099,Line item,1.80,1.90,0.00,0.00,0.10,5.70,0.40
